company,industry1,industry2,city,state,description,pin,revenue,founded date,website,number of founder,founder1,founder2,employee,funding round,funding status,last funding date,last funding amt,last funding type,total funding amt,no of investor,investor1,investor2,investor3,investor4
Codevidhya,E-Learning,EdTech,Jaipur,Rajasthan,Codevidhya is an EdTech firm that provides coding e-learning to young students.,—,—,2016,codevidhya.com,1,Shivram Choudhary,,Nov-50,1,Seed,"Nov 8, 2021",—,Seed,—,2,Digital Futurists Angels,,,
Ciferon,Software,,Nagpur,Maharashtra,Ciferon is a restaurant management software.,440003,—,"Aug 4, 2016",ciferon.com,2,Ankit Gupta,Piyush Khandelwal,Nov-50,1,Seed,"Jun 4, 2019",—,Seed,—,—,,,,
Rental Uncle Technologies Pvt Ltd,Online Portals,Rental,New Delhi,Delhi,Rental Uncle is a social platform to automate the Housing Management system and build community living.,110075,$1M to $10M,Jan-16,www.rentaluncle.com/,4,Arun Goel,Neha Singh,01-Oct,1,Seed,"Mar 3, 2016","$ 14,000.00",Seed,"$ 14,000.00",—,,,,
Anur Cloud Technologies,Finance,Internet,Chennai,Tamil Nadu,Anur Cloud Technologies provides cloud based customer identity verification solution.,600035,—,2016,anoorcloud.com,—,,,Nov-50,2,Seed,"Jul 3, 2022",—,Seed,—,2,AIG Direct,,,
Upwardly,Finance,Financial Services,Bengaluru,Karnataka,Upwardly has now merged with Scripbox – India’s trusted Digital Wealth Management platform. To know more visit: https://scripbox.com/,560102,—,2016,www.upwardly.in/,4,Prateek Mehta,Prithvi Raj Tejavath,Nov-50,1,M&A,"Jul 6, 2017",—,Seed,—,2,Suvo Sarkar,,,
forBinary,Information Services,Information Technology,Mumbai,Maharashtra,A Unique Mobility Suite for Indian Businesses & Organisations,—,—,Mar-16,forbinary.com,3,Anish Sankhe,Ashish Ranjan,Nov-50,2,Seed,"Jul 31, 2018",—,Seed,—,1,,,,
India Network,Banking,Communities,Malad,Maharashtra,A Venture Capital & Private Equity.,400 064,—,2016,www.theindianetwork.in,1,Rahul Narvekar,,01-Oct,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,1,,,,
FIBMESH,Internet,Internet of Things,New Delhi,Delhi,One Network. One Fabric. One Platform.,110017,—,"Jun 24, 2016",www.fibmesh.com,1,Vikram Gupta,,01-Oct,1,Seed,"Jun 24, 2016",—,Pre-Seed,—,1,,,,
Zscore,Analytics,Artificial Intelligence (AI),Bengaluru,Karnataka,Zscore is a software company that provides data analytics and data management.,560048,—,2016,www.zscore.co.in,—,,,01-Oct,1,Seed,"May 8, 2019",—,Pre-Seed,—,1,,,,
Cipla Health,Biotechnology,Consumer Goods,Mumbai,Maharashtra,Cipla Health focuses on developing and commercialising products in the consumer healthcare.,400070,$10M to $50M,2016,www.ciplahealth.in,1,Shivam Puri,,501-1000,1,—,"Feb 4, 2016",—,Venture - Series Unknown,—,2,Eight Roads Ventures,,,
SpotPlay,Digital Entertainment,Internet,Bangalore,Karnataka,SpotPlay offers free entertainment in travel when connected to SpotPlay WiFi.,—,—,2016,spotplay.co/business/,2,Sai Krishna,Santosh Kumar,01-Oct,1,Seed,"Jan 25, 2017","$ 3,710.00",Pre-Seed,"$ 3,710.00",1,,,,
Get Parking,Information Technology,Robotics,Mumbai,Maharashtra,Get Parking is a software developer for parking solutions.,400093,—,2016,www.getparking.in/,4,Ashwin Hegde,Sachin Naik,Nov-50,1,Seed,"May 29, 2017",—,Seed,—,1,,,,
DD Bio Solution Technology,Energy,Waste Management,Bhubaneswar,Orissa,DD Bio Solution Technology  is a producer of green energy from agro waste providing livelihood for rural women.,751006,—,"Jan 6, 2016",www.ddbiosolutiontechnology.com/,3,Debashree Padhi,Diana Padhi,01-Oct,1,Seed,"May 27, 2019","$ 10,000.00",Seed,"$ 10,000.00",1,,,,
Pensieve,Analytics,Artificial Intelligence (AI),Mumbai,Maharashtra,"Pensieve is an AI-based legal research platform that helps users draft, review, and analyze legal documents.",—,—,Jul-16,www.pensieve.co.in/,2,Gaurav Shrivastava,Navaneeth Pasham,01-Oct,1,Seed,"Feb 2, 2022",—,Pre-Seed,—,1,,,,
Ontrack Technologies Pvt. Ltd,Mobile Apps,Rental,Bangalore,Karnataka,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,560095,—,"Feb 26, 2016",www.on-track.in/,2,Harshit Sonthalia,Vansh Jain,01-Oct,1,Seed,"Jan 24, 2018",—,Seed,—,1,,,,
LocalRamu,Home Appliances,Home Improvement,Bengaluru,Karnataka,"LocalRamu which is a Online aggregator for Local Home Service providers, currently operating in the Indian cities of Bangalore, Pune, Delhi.",560102,$1M to $10M,Mar-16,localramu.com,1,Tyagi Santosh,,Nov-50,1,Seed,"Dec 4, 2016",—,Seed,—,—,,,,
VOKO,E-Commerce,Furniture,Gurgaon,Haryana,VOKO is a rental platform of lifestyle goods such as home appliance and furniture.,—,—,"Jan 7, 2016",www.voko.in,1,Bhuvnesh Sharma,,01-Oct,1,Seed,"Nov 13, 2017",—,Seed,—,1,,,,
Loanadda,Business Development,Financial Services,Noida,Uttar Pradesh,LoanAdda is a fintech company delivering custom-tailored financial services with focus on under-banked customers coalescing technology.,201301,$1M to $10M,"Sep 15, 2015",www.loanadda.com,1,Anshuman Mishra,,Nov-50,1,—,"May 5, 2020",—,Venture - Series Unknown,—,3,Ratnaafin,PRAAK Investments,,
Eldr,Artificial Intelligence (AI),Health Care,Pune,Maharashtra,Eldr is an AI-powered technology platform and community for elders and caregivers.,411 006,—,"Jan 1, 2016",eldr.co,3,Anshoo Gaur,Shashi Sudhanshu,01-Oct,1,Seed,"Jan 1, 2015","$ 1,000.00",Pre-Seed,"$ 1,000.00",1,,,,
Krate,E-Commerce,Fashion,Hyderabad,Andhra Pradesh,Krate is a men's clothing subscription box.,500084,—,"Oct 10, 2016",krate.in/,2,Siddharth Reddy,Suprathik Reddy,01-Oct,1,Seed,"Oct 1, 2018",—,Seed,—,1,,,,
Growth vision consulting,Consulting,Education,Gurgaon,Haryana,The company is into Educational Online Collaboration Platform and Technology enable Health & Wellness - Counselling services,122018,—,"Dec 16, 2015",growthvisionconsulting.com,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"where all Schools and Academic institutions and even students itself can run their Virtual schools by running online classes / courses / coaching  and Webinars to all students community PAN India with all Tools and features available on the platform like any School / Academic institution .\"",—,—,Deepak Srivastava,Dipika S,,,1-10,1,https://www.crunchbase.com/search/funding_rounds/field/organization.companies/num_funding_rounds/growth-vision-consulting,—,,,,,,,,,,,,,,
3 Minds Digital,Advertising,Fashion,Mumbai,Maharashtra,WITH YOU ON YOUR BRAND JOURNEY: 3 Minds Digital,400076,$1M to $10M,Sep 2","2016""",www.3mindsdigital.cm/,2,Harnish Shah,Moulik Jain,Nov-50,1,Seed,"Jan 2, 2017",—,Seed,—,1,,,,,,,,,,,
TRASE Footwear,Women's,,Delhi,Delhi,TRASE Footwear offers branded women footwear.,—,—,2016,trase.in/,2,Dhruv Gupta,Jitin Goel,Nov-50,1,Seed,"Oct 27, 2021",—,Seed,—,1,,,,
The Venturator,Banking,Crowdfunding,Bangalore,Karnataka,The Venturator is an online portal that helps entrepreneurs connect with ecosystem enablers.,560038,—,"Jun 6, 2016",Http//theVenturator.com,1,Abhilasha Dafria,,01-Oct,1,Seed,"Aug 4, 2016","$ 1,000.00",Seed,"$ 1,000.00",—,,,,
EnCloudEn,Information Technology,Software,Bangalore,Karnataka,EnCloudEn is a very comprehensive hyper-converged private cloud solution with a rich set of capabilities.,—,—,"Jan 1, 2016",www.enclouden.com,5,Abinash Saikia,Hymavathi Gontina,Nov-50,2,M&A,"Oct 1, 2019",—,Series A,—,—,,,,
Knudge.me,E-Learning,EdTech,Bengaluru,Karnataka,Knudge.me is a mobile micro-learning platform to help people improve their English skills leveraging AI & gamification.,—,Less than $1M,"Mar 1, 2016",knudge.me/,3,Pushp Raj Saurabh,Udit Jain,01-Oct,1,—,"May 15, 2018",—,Venture - Series Unknown,—,1,,,,
Cosmeto Food,E-Commerce,Health Care,,,Cosmeto Food is a startup that provides taste-able authentic Ayurvedic organic handmade skin care products.,122003,—,2016,cosmetofood.in/,1,India,Asia-Pacific (APAC),101-250,1,Seed,"Aug 8, 2019",—,Seed,—,1,,,,
Perilwise,FinTech,Insurance,Chennai,Tamil Nadu,Perilwise is an online platform providing personal and commercial insurance solutions.,600116,$1M to $10M,2016,www.perilwise.com,2,Avinash Ramachandran,Sunil Gopikrishna,01-Oct,1,Seed,"Jul 5, 2018",—,Seed,—,1,,,,
Flytta,Home Services,Logistics,Bangalore,Karnataka,A Next Generation Mobility Company,560034,—,Jan-16,goflytta.com,2,Gokulavasan Murali,Rahul Kanuganti,Nov-50,1,Seed,"Jul 18, 2017",—,Seed,—,1,,,,
JustDoc,Health Care,Health Diagnostics,Bangalore,Karnataka,"JustDoc is a online doctor consultation platforms that provide healthcare services via audio, video, and chat to global users.",560034,—,Oct-15,justdoc.com/,5,Abhishek Kumar,Abhishek Kumar,Nov-50,1,M&A,"Jan 28, 2016",—,Seed,—,4,Singapore Angel Network,Tracxn labs,Mohit Saxena,
Ikarus,Artificial Intelligence (AI),Enterprise Software,Gurgaon,Haryana,AI tech startup working in the domain of enterprise process automation,122002,Less than $1M,"May 16, 2016",www.ikarus.ai/,2,Rishi Agarwal,Rohit Agarwal,Nov-50,1,Seed,"Feb 1, 2017",—,Seed,—,2,Pravega Ventures,,,
Junga FreshnGreen,Agriculture,AgTech,New Delhi,Delhi,A joint venture with a leading Netherlands based Agricultural technology company.,110026,$1M to $10M,"Aug 31, 2016",www.jungafreshngreen.com/,1,Sandiip Bhatia,,Nov-50,1,Seed,"Apr 4, 2017",—,Seed,—,1,,,,
CyberInject,Information Technology,News,Rajkot,Gujarat,CyberInject is a web portal that features cyber security news and trends in information technology.,—,—,"Jul 31, 2016",www.cyberinject.com/,1,Karan Vaghasiya,,01-Oct,1,Seed,"Mar 11, 2017","$ 10,000.00",Seed,"$ 10,000.00",—,,,,
BuzzBeak,Advertising,Animal Feed,Mumbai,Maharashtra,Buzzbeak is a curated content media product.,—,—,"Apr 1, 2016",buzzbeak.com,—,,,51-100,1,Seed,"Apr 23, 2016","$ 20,000.00",Seed,"$ 20,000.00",—,,,,
Minkspay,Financial Services,Payments,Sanquelim,Goa,Minkspay is a payment solutions company,403 505,—,2016,www.minkspay.com/,1,Sanket Shendure,,Nov-50,2,—,"Sep 26, 2019",—,Venture - Series Unknown,—,3,Nimesh Kampani,Vel Kanniappan,,
Arjun Kilachand,Fashion,Retail,Mumbai,Maharashtra,Arjun Kilachand is a luxury men’s label offering Indian ethnic wear and western formals for men.,400021,—,2016,arjunkilachand.com,—,,,Nov-50,2,Early Stage Venture,"Jun 22, 2023",—,Series A,—,3,Bahram N. Vakil,Varunn Mody,,
Eyedentify,Automotive,Internet of Things,Hyderabad,Andhra Pradesh,Eyedentify is an automotive IoT solutions company that guarantees in-vehicle security for drivers and commuters.,500034,—,2016,www.eyedentify.ai/,3,Dhushyanth Dachiraju,Krishna Karthik Jasti,Nov-50,2,Seed,"Nov 10, 2019",—,Seed,—,2,The Bosch D.N.A accelerator,,,
Again Drinks,Food and Beverage,Organic Food,Bengaluru,Karnataka,"Again Drinks offers unique and exciting range of tasty, wholesome beverages with the goodness of dairy, real fruits, nuts and vegetables.",560008,—,2016,www.againdrinks.com/,1,Vaitheeswaran K,,—,1,Seed,"Feb 14, 2020",—,Angel,—,1,,,,
ALCIS Sports,Fitness,Lifestyle,Noida,Uttar Pradesh,ALCIS Sports is a sportswear brand that produces high end performance wear as well as athletic leisure sportswear.,—,$1M to $10M,2016,www.alcissports.com/,2,Ravish Nanda,Roshan Baid,51-100,1,Seed,"Apr 11, 2017",—,Seed,—,1,,,,
Kinderpass,Apps,Child Care,Delhi,Delhi,Get the power of 7 developmental experts in your pocket!,110063,—,2016,mykinderpass.com/,—,,,Nov-50,1,Seed,"Jan 1, 2018",—,Seed,—,1,,,,
Mutterfly,Collaborative Consumption,Consumer Electronics,Mumbai,Maharashtra,Rent the latest tech starting at 1% of MRP,400076,$1M to $10M,"Sep 2, 2015",mutterfly.in/,1,Akshay Bhatia,,Nov-50,1,Seed,"Jan 1, 2019",—,Seed,—,1,,,,
GoFlamingo,Logistics,,Bangalore,Karnataka,GoFlamingo is here to bringing logic to Logistics.,560042,—,2016,goflamingo.co.in/,4,Govindarao Annigeri,Ravichandra Patil,Nov-50,1,Seed,"Oct 24, 2017",—,Seed,—,1,,,,
ScoutMyTrip,Leisure,Tourism,Thane,Maharashtra,ScoutMyTrip is trip planner and market place of travel experts,400607,$1M to $10M,2016,scoutmytrip.com/,2,Deepak Ananth,Vineet Rajan,01-Oct,1,Seed,"Apr 12, 2017",—,Seed,—,1,,,,
Brenin,Cyber Security,Graphic Design,Jodhpur,Rajasthan,Brenin offers tech solutions aimed at transforming business operations and efficiency.,—,$1M to $10M,2016,brenin.co,2,Sanjay Jangid,Suyog Bora,51-100,1,—,"Jan 1, 2023",—,Venture - Series Unknown,—,1,,,,
LetzConnect,EdTech,Education,Chennai,Tamil Nadu,LetzConnect is an educational networking portal that offers 'knowledge connectivity' to students.,600018,—,2016,www.letzconnect.com/,1,Praveen Ganesh,,Nov-50,1,Seed,"Jun 6, 2019",—,Seed,—,3,SucSEED Venture Partners,Syndicate,,
Cab Dost,Advice,Consulting,Bangalore,Karnataka,Cab Dost provides taxi drivers with expert advisory services related to tax planning to ensure that they secure a financial future.,560055,—,2016,www.cabdost.com/,2,Muhammed Shafeeque Thazhatheri,Yamuna Sastry,Nov-50,1,Seed,"May 13, 2019",—,Seed,—,1,,,,
Digimkey,Analytics,Education,Mumbai,Maharashtra,Digimkey is cloud based Saas Platform for education data analytics.,400053,—,"May 27, 2016",web.digimkey.com,1,Kunwar Rizwan,,Nov-50,1,Seed,"Oct 5, 2017","$ 5,00,000.00",Seed,"$ 5,00,000.00",1,,,,
SYmbosim,Aerospace,Automotive,Bangalore City,Karnataka,Ultra-fast cloud-based composite design and optimization platform,—,—,2016,www.symbosim.com,2,Dineshkumar Harursampath,Mohit Gupta,01-Oct,1,Seed,"Dec 1, 2016",—,Angel,—,—,,,,
Campus Students Communities,Hospitality,,Bangalore,Karnataka,"To achieve objectives in an environment of fairness,",—,—,2016,campusville.in/,1,Saket Jalan,,251-500,1,Early Stage Venture,"Dec 26, 2016",—,Series A,—,—,,,,
Red Otter Farms,Agriculture,Farming,New Delhi,Delhi,"Red Otter Farms provides chemical-free salad greens, salad blends, herbs. tomatoes. spinach, and microgreens.",—,—,"Jan 1, 2016",otterfresh.in/,2,Anubhav Das,Srishti Mandaar,01-Oct,1,Seed,"Apr 5, 2019",—,Seed,—,1,,,,
HappyShappy,Apps,E-Commerce,New Delhi,Delhi,HappyShappy is a discovery platform for ideas and products.,110068,—,"Sep 1, 2016",happyshappy.com/,2,Nitin Sood,Sana Hoda Sood,Nov-50,1,Seed,"Sep 11, 2019",—,Seed,—,4,Shivashish Chatterjee,Yuvraja C Singh,Samuel Choi,
Green Souls,Consumer Goods,E-Commerce,Thane,Maharashtra,Green Souls is an ergonomic furniture brand.,421501,—,2016,greensoul.online/,1,Ravi Khushwani,,Nov-50,1,Seed,"Oct 19, 2021",—,Seed,—,1,,,,
Kakcho,Internet,Social Network,Delhi,Delhi,Kakcho is a multi-product social networking firm that aims to inspire people to build connections while also creating opportunities.,110018,—,Jun-16,kakcho.com,—,,,Nov-50,1,Seed,"May 9, 2022",—,Seed,—,3,Orbit Startups,MOX (now Orbit Startups),,
Ahammune Biosciences,Biotechnology,Health Care,Pune,Maharashtra,Ahammune Biosciences is an innovation-led drug discovery company.,411004,—,2016,www.ahammune.com,1,Parul Ganju,,01-Oct,1,Seed,"Apr 26, 2021",—,Seed,—,8,Ideaspring Capital,Kotak Private Equity,Anand Deshpande,Dr. Ganesh Natarajan
iNICU,Artificial Intelligence (AI),Health Care,New Delhi,Delhi,iNICU is a Medical Devices Technology Company.,110025,$1M to $10M,2016,inicucloud.com/,3,Gautam Yadav,Harpreet Singh,Nov-50,1,Seed,"Jul 10, 2018",—,Seed,—,4,Vikas Khandelwal,Dipan Dalal,Vishal Jhunjhunwala,
Zoe,Food and Beverage,Nutrition,Gurgaon,Haryana,Zoe is a nutrition-first foods & beverages brand.,122017,—,"Feb 14, 2016",www.zoe.menu/,2,Karan Jindal,Taniya Dhirasaria,Nov-50,1,Seed,"Oct 24, 2017",—,Seed,—,1,,,,
Hermitz Media,Advertising,Fashion,Bengaluru,Karnataka,"Advertising Agency. Ultimate Brand Experiences with Story, Emotion and Purpose.",560102,—,"Dec 30, 2015",hermitz.com/,1,Muhammed Shanu,,51-100,1,Seed,"Dec 30, 2016",—,Seed,—,1,,,,
Doctor's Bazaar,Health Care,Manufacturing,Kochi,Kerala,Doctor's Bazaar is a medical device platform  for med-tech companies and hospitals & device buyers.,—,—,"Feb 1, 2016",www.doctorsbazaar.com,2,Sandeep Naik,Vishal Naik,01-Oct,1,Seed,"Dec 23, 2020",—,Pre-Seed,—,1,,,,
Mitra Robot,Robotics,,Bengaluru,Karnataka,Mitra Robot is a robot manufacturing company.,560102,—,2016,www.mitrarobot.com,—,,,Nov-50,1,—,"Sep 26, 2019",—,Venture - Series Unknown,—,4,Windrose Capital,IC1101,Kevin Saboo,
Quikkloan,Analytics,Financial Services,Noida,Uttar Pradesh,Quikkloan is a credit scoring analytics based marketplace for loans.,201301,—,2016,quikkloan.com,2,Abhay Negi,Jamil Akhtar,01-Oct,2,Seed,"Nov 18, 2019",—,Seed,—,3,Arun Diaz,Aasif Ahsan Khan,,
Lestacworld.com - A US Based LLC,Hospitality,Tourism,Pune,Maharashtra,Holiday Travel Portal,—,—,"Aug 27, 2016",www.lestacworld.com,2,Adit Sarin,Ruchita Bhatt,Nov-50,1,Seed,"Jan 19, 1919","$ 50,000.00",Pre-Seed,"$ 50,000.00",—,,,,
The Hacker Street,Real Estate,,Bangalore,Karnataka,"The Hacker Street is a commercial real estate, office space rental, and co-working aggregator.",—,—,Feb-16,thehackerstreet.com,1,Gourab Paul,,01-Oct,1,Seed,"Mar 4, 2017",—,Pre-Seed,—,—,,,,
QuantMagnum,Financial Services,FinTech,Mumbai,Maharashtra,Saas Platform for Investment management,400062,—,2016,www.quantmagnum.com/,2,Kushal Rastogi,Parthesh Shah,Nov-50,2,Seed,"May 1, 2018",—,Angel,—,2,Z Nation Lab,,,
Selekt.in,Artificial Intelligence (AI),E-Commerce,Mumbai,Maharashtra,"An intelligent assistant for product discovery. It can interact, understand and guide customers in selecting products that suit their needs",—,—,"Jun 1, 2016",www.selekt.in,4,Ravi Sekhar K V,Sai Prasanth D,Nov-50,1,Seed,"Dec 1, 2016",—,Seed,—,5,Anubhav Sonthalia,Abhimanyu Lal,Kashyap Vadapalli,Ravi Sekhar K V
PropsAMC,Asset Management,Building Material,Mumbai,Maharashtra,PropsAMC is a real estate insights & asset monitoring platform,400053,—,2016,propsamc.com/,2,Anand Moorthy,Natasha Moorthy,Nov-50,1,M&A,"Aug 31, 2017",—,Seed,—,1,,,,
Connect2MyDoctor,Health Care,Medical,Bangalore,Karnataka,Connect2MyDoctor is a healthcare technology company that provides online consultation.,560071,$1M to $10M,2016,www.connect2mydoctor.com,3,Jayaprakash Menon,Nelby Joseph,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,—,,,,
Cognitifai,Analytics,Information Services,Bengaluru,Karnataka,Cognitifai is a video analytics replenishment solution using a computer vision open camera AI platform.,—,—,2016,cognitif.ai,1,Kanishka Nithin,,Nov-50,1,—,"Dec 1, 2017",—,Venture - Series Unknown,—,1,,,,
Direct Create,Art,B2B,New Delhi,Delhi,"A technology platform built for B2B and B2C customers, to discover, shop and collaborate with Makers and Designers",110019,—,2016,directcreate.com,2,Rajeev Lunkad,Sheela Lunkad,Nov-50,1,—,"Jan 19, 2017",—,Venture - Series Unknown,—,1,,,,
Kipstay,Leisure,Tourism,Bengaluru,Karnataka,"KipStay offers escapes located at unexplored countrysides of India that provide a safe, hygienic and wholesome accomodation experience.",560043,Less than $1M,"Nov 26, 2016",www.kipstay.com,2,Achintya Dayal,Arjun Raghunandan,Nov-50,2,Seed,"Jun 8, 2018",—,Seed,—,—,,,,
TJ Tyres,Automotive,Electric Vehicle,New Delhi,Delhi,TJ Tyres is an innovative and technology-driven company working on rider's safety.,—,—,"Nov 24, 2016",www.tjtyres.com/,3,Sameer Panda,Smitiparna Satpathy,Nov-50,3,—,"Jan 16, 2021",—,Venture - Series Unknown,—,5,GAIL,Hindustan Petroleum Corporation Limited,NITI AAYOG,KIIT-TBI
PaperVC,Financial Services,,Chennai,Tamil Nadu,PaperVC is a data platform for investors.,600041,—,2016,paper.vc/,2,Sonia Pradhan Nayak,Vivek Durai,Nov-50,1,—,"Jan 1, 2019",—,Venture - Series Unknown,—,2,Windrose Capital,,,
